city,city_population,stadium_name,hometeam,hometeam_id,capacity,avg_attendance_2022,total_attendance_2022
Incheon,2849000,SSG Landers Field,SSG Landers,SL01,23000,13633,981546
Seoul,9988000,Jamsil Baseball Stadium,Doosan Bears,DB02,25000,8953,644614
Seoul,9988000,Jamsil Baseball Stadium,LG Twins,LT03,25000,8773,930163
Seoul,9988000,Gochuck Dome,Kiwoom Heroes,KH04,16744,4858,349773
Suwon,1365000,KT Wiz Park,KT Wiz,KW05,20000,7393,532268
Gwangju,1529000,Gwangju Kia Champions Field,Kia Tigers,KT06,20500,8394,604394
Daegu,2181000,Daegu Samsung Lions Park,Samsung Lions,SL07,24000,9367,674452
Busan,3357737,Sajik Baseball Stadium,Lotte Giants,LG08,24500,8773,631656
Changwon,1054000,Changwon NC Park,NC Dinos,ND09,22112,5125,369018
Daejeon,1577000,Hanwha Eagles Park,Hanwha Eagles,HE10,13000,4975,358190